Entity Label,Wikidata URI,Confidence
Danmark,http://www.wikidata.org/entity/Q1269766,0.40
Greenlandic,http://www.wikidata.org/entity/Q25355,1.00
Naalakkersuisut,http://www.wikidata.org/entity/Q10858355,1.00
Sermitsiaq,http://www.wikidata.org/entity/Q937418,1.00
Thule,http://www.wikidata.org/entity/Q12006250,1.00
Aalborg,http://www.wikidata.org/entity/Q25410,1.00
Air Greenland,http://www.wikidata.org/entity/Q407292,1.00
Aksel Svane,http://www.wikidata.org/entity/Q40021447,1.00
Bloomberg,http://www.wikidata.org/entity/Q13977,0.50
Bundestag,http://www.wikidata.org/entity/Q154797,0.40
Christian Wulff,http://www.wikidata.org/entity/Q2540,1.00
Covid,http://www.wikidata.org/entity/Q84263196,0.50
COVID-19,http://www.wikidata.org/entity/Q84263196,1.00
DCRA,http://www.wikidata.org/entity/Q18035284,0.40
Eske Brun,http://www.wikidata.org/entity/Q1140963,1.00
Forbes,http://www.wikidata.org/entity/Q16275858,1.00
Gates,http://www.wikidata.org/entity/Q16870134,1.00
Goražde,http://www.wikidata.org/entity/Q504058,1.00
Greenlandic Inuit,http://www.wikidata.org/entity/Q25355,0.40
Grønnow,,0.00
Inatsisartut,http://www.wikidata.org/entity/Q1257966,1.00
ISBN,http://www.wikidata.org/entity/Q33057,0.40
Ivigtut,http://www.wikidata.org/entity/Q950978,0.40
Jan,http://www.wikidata.org/entity/Q12173670,1.00
Kauffmann,http://www.wikidata.org/entity/Q26973097,1.00
Kremlin,http://www.wikidata.org/entity/Q13371,0.40
Naalakkersuisoq,http://www.wikidata.org/entity/Q110126947,0.40
Napoleon,http://www.wikidata.org/entity/Q517,1.00
Palantir,http://www.wikidata.org/entity/Q2047336,0.50
Parello-Plesner,,0.00
Passage,http://www.wikidata.org/entity/Q2055753,1.00
PDF,http://www.wikidata.org/entity/Q42332,1.00
Polska,http://www.wikidata.org/entity/Q11184841,1.00
Secretariat,http://www.wikidata.org/entity/Q1151926,1.00
Skrælings,http://www.wikidata.org/entity/Q134617845,0.40
Statistics Greenland,http://www.wikidata.org/entity/Q5560904,1.00
Struwe,http://www.wikidata.org/entity/Q27208081,1.00
Thule Air Base,http://www.wikidata.org/entity/Q131520504,0.40
Thule Site J,http://www.wikidata.org/entity/Q12318725,1.00
Treaty,http://www.wikidata.org/entity/Q131569,1.00
United Nations,http://www.wikidata.org/entity/Q1065,1.00
United States,http://www.wikidata.org/entity/Q30,1.00
US Arctic,http://www.wikidata.org/entity/Q7889426,0.40
Venstre,http://www.wikidata.org/entity/Q500190,0.40
Verdonk,http://www.wikidata.org/entity/Q21491902,1.00
Willerslev,http://www.wikidata.org/entity/Q49649736,1.00
YouTube,http://www.wikidata.org/entity/Q866,1.00
Yukon,http://www.wikidata.org/entity/Q2009,1.00
Avannaata,http://www.wikidata.org/entity/Q44593409,1.00
Burchard,http://www.wikidata.org/entity/Q18579290,1.00
Clemmensen,http://www.wikidata.org/entity/Q1100396,1.00
Dundas,http://www.wikidata.org/entity/Q16869712,1.00
Edwards,http://www.wikidata.org/entity/Q2691159,1.00
Emmanuel Macron,http://www.wikidata.org/entity/Q3052772,1.00
Green Left,http://www.wikidata.org/entity/Q615603,1.00
Henrik,http://www.wikidata.org/entity/Q594279,1.00
Jordan,http://www.wikidata.org/entity/Q14021944,1.00
Katalog,http://www.wikidata.org/entity/Q23833686,0.40
Keisling,http://www.wikidata.org/entity/Q37062706,1.00
Lomonosov Ridge,http://www.wikidata.org/entity/Q1166029,1.00
Mads,http://www.wikidata.org/entity/Q16278672,1.00
Normandy,http://www.wikidata.org/entity/Q2219635,1.00
Nowicki,http://www.wikidata.org/entity/Q21497044,1.00
Polen,http://www.wikidata.org/entity/Q12505991,1.00
Politiken,http://www.wikidata.org/entity/Q12332024,0.50
Qaanaaq,http://www.wikidata.org/entity/Q223314,1.00
Rottem,http://www.wikidata.org/entity/Q55241046,1.00
Saint Lucia,http://www.wikidata.org/entity/Q760,1.00
Schoof,http://www.wikidata.org/entity/Q37235156,1.00
Stoltenberg,http://www.wikidata.org/entity/Q21449571,1.00
Tuvalu,http://www.wikidata.org/entity/Q672,1.00
V.M.,http://www.wikidata.org/entity/Q88217885,0.40
Vladimir Putin,http://www.wikidata.org/entity/Q7747,1.00
Volodymyr Zelenskyy,http://www.wikidata.org/entity/Q3874799,1.00
Waszczykowski łagodnie,,0.00
Zensursula,http://www.wikidata.org/entity/Q60772,0.40
Appelt,http://www.wikidata.org/entity/Q2634040,0.50
Bundeswehr,http://www.wikidata.org/entity/Q56010,1.00
Herszenhorn,http://www.wikidata.org/entity/Q120542673,1.00
Kalaallisut,http://www.wikidata.org/entity/Q25355,0.40
Kalaallit,http://www.wikidata.org/entity/Q223,0.40
